symbol,date,close,high,low,number_of_trades,open,quote_volume,taker_quote_volume,taker_volume,volume
BTCUSDT,2017-11-27,9650.0,9654.28,9112.04,22806,9128.0,42961064.95202934,23145323.64948013,2433.447575,4521.625707
BTCUSDT,2017-11-28,9896.8,9939.0,9570.5,18923,9650.0,48235644.0576554,23851135.77284698,2431.138502,4917.210985
BTCUSDT,2017-11-29,9687.88,11300.03,8520.0,47894,9896.79,135976167.45757934,88423971.28943045,8662.632362,13352.538715
BTCUSDT,2017-11-30,9838.96,10900.0,8850.8,41153,9687.88,91430904.34116387,52384338.03597776,5360.660242,9389.574329
BTCUSDT,2017-12-01,10782.99,10898.0,9380.0,32375,9837.0,62260697.58291551,33193672.16592109,3269.868588,6134.923633
BTCUSDT,2017-12-02,10890.01,11190.0,10620.0,29694,10775.04,52046689.84006951,26111051.97904352,2390.194275,4765.439757
BTCUSDT,2017-12-03,11165.41,11825.0,10500.0,39335,10902.69,60350708.29332783,29090180.16290429,2574.246187,5346.636524
BTCUSDT,2017-12-04,11579.0,11600.0,10802.0,32232,11165.41,52814985.63993067,28512751.47162289,2516.855031,4663.424562
BTCUSDT,2017-12-05,11699.99,11853.0,11447.68,31317,11571.03,64721253.04527842,36570499.65542363,3135.630565,5550.732055
BTCUSDT,2017-12-06,13550.05,13615.23,11665.58,40196,11699.99,84409526.69576178,48223185.56586906,3830.098381,6707.946319
BTCUSDT,2017-12-07,16599.0,16649.96,13050.0,57541,13541.01,109555325.34649763,57501459.77355417,3931.041376,7487.065695
BTCUSDT,2017-12-08,15880.0,17204.99,14015.0,84727,16599.0,271586476.6191431,184080403.13797045,11950.291812,17589.013136
BTCUSDT,2017-12-09,14656.07,16269.3,12535.0,66738,15880.01,205372672.98786432,118308773.57971703,7988.323023,13918.758687
BTCUSDT,2017-12-10,14899.98,15720.12,12368.0,80669,14664.01,233767963.46201488,123176894.48606697,8736.869344,16553.037173
BTCUSDT,2017-12-11,16587.97,17470.0,14901.08,71373,14946.26,193045127.9036004,96386375.05815984,5905.234633,11820.401762
BTCUSDT,2017-12-12,16349.99,16976.45,15875.0,76032,16587.97,155716213.09834388,72561808.35535774,4395.051525,9436.802411
BTCUSDT,2017-12-13,16033.29,16546.0,14666.56,83847,16349.99,196769674.3115306,97124627.48575148,6127.957739,12416.328801
BTCUSDT,2017-12-14,16334.98,16445.0,15450.0,86150,16030.34,186092495.1834846,96150362.10506035,5999.075173,11616.867151
BTCUSDT,2017-12-15,17539.83,17991.0,16298.45,85478,16334.98,159809704.04408672,81924043.94046211,4712.5784,9181.273947
BTCUSDT,2017-12-16,19102.66,19539.0,17190.01,51777,17516.81,76293721.36508314,41958921.17812987,2308.847163,4202.628709
BTCUSDT,2017-12-17,18860.02,19798.68,18510.0,84581,19120.19,175867439.47045138,80497172.92855518,4197.960835,9177.183434
BTCUSDT,2017-12-18,18856.25,19300.0,17029.98,91956,18860.04,196339245.74519795,86666689.06405357,4690.302146,10624.633071
BTCUSDT,2017-12-19,17295.2,18950.0,16300.0,116569,18856.25,232790625.92336664,101134115.92016459,5740.506184,13210.74822
BTCUSDT,2017-12-20,16488.98,17720.35,14777.66,129762,17295.2,221193892.5022389,94404363.82531904,5732.664035,13450.496693
BTCUSDT,2017-12-21,15492.64,17309.5,14022.0,117731,16480.52,320176825.29037607,184537677.7923892,11672.760789,20324.2173
BTCUSDT,2017-12-22,13326.61,15699.34,10961.0,243261,15514.03,477509934.7182865,233435309.648319,17556.682449,36076.271175
BTCUSDT,2017-12-23,13300.0,14950.0,12978.18,135005,13326.61,184759685.33206666,92098774.4608775,6547.667326,13141.538875
BTCUSDT,2017-12-24,13500.0,13819.99,11640.0,173557,13300.0,365709589.60302895,196993097.07332075,15365.113545,28557.534988
BTCUSDT,2017-12-25,13699.34,14300.0,12708.0,116416,13500.0,213139657.62891454,119703848.85962638,8834.650938,15748.207607
BTCUSDT,2017-12-26,15689.01,16050.0,13533.0,133133,13699.34,224843731.89656886,125842113.78661472,8436.171298,15034.668104
BTCUSDT,2017-12-27,15459.99,16498.05,14200.15,142202,15709.98,231229932.48204058,121346099.97221792,7843.419761,14959.864723
BTCUSDT,2017-12-28,14182.11,15539.99,13150.0,178032,15459.97,303401227.98652,159795892.05003202,11431.787691,21717.858014
BTCUSDT,2017-12-29,14378.9,14981.0,13850.0,142100,14199.14,260911629.21807674,151673949.96207923,10502.69575,18072.008116
BTCUSDT,2017-12-30,12440.01,14398.85,11750.0,190204,14378.99,247803953.75248587,123372468.27892077,9530.51786,19221.158039
BTCUSDT,2017-12-31,13716.36,14050.11,12149.98,138893,12345.1,155283285.36704132,80277167.6252944,6085.523277,11768.989718
BTCUSDT,2018-01-01,13380.0,13818.55,12750.0,105595,13715.65,114799747.44197057,52809747.44038045,3961.938946,8609.915844
BTCUSDT,2018-01-02,14675.11,15473.49,12890.02,177728,13382.16,279717107.4337192,158080088.68331683,11346.326739,20078.092111
BTCUSDT,2018-01-03,14919.51,15307.56,14150.0,162787,14690.0,236116868.3361901,133587333.24534808,8994.953566,15905.667639
BTCUSDT,2018-01-04,15059.54,15280.0,13918.04,170310,14919.51,312781583.79830784,186116793.01158932,12680.812951,21329.649574
BTCUSDT,2018-01-05,16960.39,17176.24,14600.0,192969,15059.56,369321956.4868375,211829900.67898223,13346.622293,23251.491125
BTCUSDT,2018-01-06,17069.79,17143.13,16011.21,158242,16960.39,309216920.98641044,183417769.06237718,11007.164056,18571.457508
BTCUSDT,2018-01-07,16150.03,17099.96,15610.0,120269,17069.79,206194706.37068352,112151163.1274352,6779.320508,12493.125558
BTCUSDT,2018-01-08,14902.54,16322.3,12812.0,208642,16218.85,396569997.15746266,206049582.13668823,13756.844389,26600.609912
BTCUSDT,2018-01-09,14400.0,15500.0,14011.05,156656,14902.54,210630187.45766863,100698572.9000214,6841.233287,14315.004253
BTCUSDT,2018-01-10,14907.09,14955.66,13131.31,161476,14401.0,244011366.763028,119570139.8064535,8529.554675,17411.001655
BTCUSDT,2018-01-11,13238.78,14968.68,11400.0,239416,14940.0,446587594.6937379,218762237.37910992,16422.01998,33554.723751
BTCUSDT,2018-01-12,13740.01,14109.78,12500.0,134452,13238.76,222516076.27145907,110040020.181478,8117.312075,16417.162137
BTCUSDT,2018-01-13,14210.0,14580.0,13706.15,123639,13749.95,173086488.54788405,78958098.9463857,5574.178408,12221.508528
BTCUSDT,2018-01-14,13474.99,14339.5,12569.2,152364,14210.0,226525305.1293811,110381556.67259862,8288.382911,17017.894329
BTCUSDT,2018-01-15,13539.93,14249.99,13147.79,145362,13477.98,200614554.538343,101748315.63707082,7431.063272,14652.094705
BTCUSDT,2018-01-16,10900.0,13542.93,9035.0,418243,13500.0,722150828.1494025,346777069.93374634,30353.401717,63401.169175
BTCUSDT,2018-01-17,10988.79,11680.99,9037.94,517293,10899.99,744154180.1312059,365047291.4303791,35412.798137,72331.796646
BTCUSDT,2018-01-18,10961.97,11878.82,10435.33,393112,10972.59,541289614.0584046,266091805.66522688,23814.382845,48464.434937
BTCUSDT,2018-01-19,11474.98,11795.0,10360.0,273271,10960.0,382773499.2265792,189259676.89222243,16871.416355,34129.375421
BTCUSDT,2018-01-20,12799.94,13099.0,11412.45,251647,11474.98,358561107.78097045,179183657.90470728,14389.196005,28768.857827
BTCUSDT,2018-01-21,11530.0,12799.8,10965.0,360207,12799.8,485289230.8188924,241154449.98183498,20574.760061,41379.773426
BTCUSDT,2018-01-22,10760.05,11926.35,9900.24,363264,11530.0,475716514.208697,231677479.12562197,21300.575828,43752.606791
BTCUSDT,2018-01-23,10799.18,11399.0,9905.0,355286,10760.05,399419413.2329807,199899519.27329972,18747.793828,37473.922552
BTCUSDT,2018-01-24,11349.99,11570.48,10500.0,293429,10799.14,299470607.4302002,144335221.62540218,13087.393088,27158.587762
BTCUSDT,2018-01-25,11175.27,11794.05,10950.21,221040,11349.96,236081364.9736523,115584688.24733494,10201.386919,20839.954183
BTCUSDT,2018-01-26,11089.0,11643.0,10311.15,314720,11184.7,360482470.1737543,167328952.39330244,15330.789553,33056.87196
BTCUSDT,2018-01-27,11491.0,11650.0,10842.69,207478,11089.0,212663199.53348225,103935891.79616304,9208.937963,18860.768345
BTCUSDT,2018-01-28,11879.95,12244.0,11408.0,206247,11499.98,200211582.94345406,87011013.8320475,7342.786997,16887.339524
BTCUSDT,2018-01-29,11251.0,11975.02,11139.55,169199,11879.95,162110154.87880376,68819972.52308752,6016.496871,14170.377538
BTCUSDT,2018-01-30,10237.51,11308.42,9900.0,259212,11250.11,268978329.50861526,119864289.07103088,11388.096419,25554.372946
BTCUSDT,2018-01-31,10285.1,10425.85,9700.0,201422,10230.0,181644207.1131626,88609272.64228792,8782.584442,18015.956805
BTCUSDT,2018-02-01,9224.52,10335.0,8750.99,316020,10285.1,317636345.9843711,146130725.8704748,15430.003849,33564.764311
BTCUSDT,2018-02-02,8873.03,9250.0,8010.02,453411,9224.52,434236483.7044874,201292749.51509914,23113.503584,49971.626975
BTCUSDT,2018-02-03,9199.96,9473.01,8229.0,327519,8873.03,256834729.0599109,127068644.49604894,14182.838146,28725.000735
BTCUSDT,2018-02-04,8184.81,9368.0,7930.0,356134,9199.96,274912288.421322,118884553.20936234,13805.29579,32014.308449
BTCUSDT,2018-02-05,6939.99,8382.8,6625.0,533510,8179.99,471166218.7134473,222022401.01692358,29857.35839,63403.182579
BTCUSDT,2018-02-06,7652.14,7878.0,6000.01,785996,6939.63,684364276.3666689,339117633.4088549,49565.020794,100201.500307
BTCUSDT,2018-02-07,7599.0,8476.0,7150.01,514893,7655.02,477935038.81177694,237137973.45313892,30084.836266,60778.460497
BTCUSDT,2018-02-08,7784.02,7844.0,7572.09,12417,7599.0,11770168.04386595,6532638.63751892,844.258813,1521.537318
BTCUSDT,2018-02-09,8683.92,8738.0,7789.9,273091,7789.9,173348469.81187892,88117562.12096503,10404.040792,20482.910825
BTCUSDT,2018-02-10,8533.98,9065.78,8120.0,537578,8683.93,423411421.93098,210253734.38065454,24506.723294,49381.512653
BTCUSDT,2018-02-11,8063.88,8549.0,7726.53,524626,8533.99,366966437.24988854,188849914.34995836,23180.34192,45025.187952
BTCUSDT,2018-02-12,8903.0,8989.0,8053.0,477660,8063.82,362440826.9943769,180528457.55458465,20916.949742,41987.85049
BTCUSDT,2018-02-13,8539.9,8950.0,8351.0,401893,8903.0,305165143.6969234,142530987.43930227,16558.45568,35454.972956
BTCUSDT,2018-02-14,9449.99,9489.6,8533.0,514897,8535.17,370126692.72823304,185896385.02591053,20508.463444,40811.952867
BTCUSDT,2018-02-15,10000.09,10219.5,9301.5,608349,9449.98,512388484.73178285,252255267.8835685,25805.098892,52427.596715
BTCUSDT,2018-02-16,10159.98,10323.37,9666.0,405310,10000.89,381103299.2238848,182947133.88868243,18313.004466,38161.205974
BTCUSDT,2018-02-17,11039.55,11075.07,10050.0,413585,10156.07,446012696.16926724,225229265.72563553,21147.624789,41882.108407
BTCUSDT,2018-02-18,10383.43,11274.0,10080.0,537534,11039.55,649423311.3100227,314511909.4893312,29593.863774,61137.380728
BTCUSDT,2018-02-19,11153.0,11250.0,10270.33,366882,10375.01,443766562.68306607,224193685.43795273,20619.877129,40831.417131
BTCUSDT,2018-02-20,11200.99,11786.01,11100.59,432197,11147.11,551573232.2429588,277480902.0141192,24211.49181,48153.354288
BTCUSDT,2018-02-21,10437.6,11304.03,10200.0,542340,11195.07,731537130.4921861,347436564.666544,32338.074002,68113.818754
BTCUSDT,2018-02-22,9811.04,10933.44,9679.0,506273,10439.02,682006373.869588,336067441.6325065,33029.297624,67060.166483
BTCUSDT,2018-02-23,10131.04,10435.0,9570.19,467480,9815.55,571800753.4709765,280171693.07297117,28031.011368,57202.70237
BTCUSDT,2018-02-24,9694.51,10496.97,9352.0,337918,10131.04,405618586.64803785,185164883.4517175,18646.870961,40888.156299
BTCUSDT,2018-02-25,9590.0,9847.0,9274.8,233567,9694.51,271286599.1260862,133525539.44882146,13956.661533,28373.517586
BTCUSDT,2018-02-26,10324.0,10444.32,9350.0,285276,9590.0,347559259.73845184,169936003.38761607,17045.768706,34878.292756
BTCUSDT,2018-02-27,10569.04,10870.0,10121.0,240542,10321.0,324295371.1414657,160450471.4557678,15187.083738,30705.385123
BTCUSDT,2018-02-28,10326.76,11098.0,10300.0,277886,10584.33,327914696.13067526,153537202.10196504,14412.84633,30800.983782
BTCUSDT,2018-03-01,10920.0,11060.41,10240.0,230428,10325.64,268172535.3811293,136788817.23158327,12785.4045,25092.55393
BTCUSDT,2018-03-02,11039.0,11200.0,10770.0,211691,10923.36,262936307.00785756,130864918.8230748,11893.333632,23910.71009
BTCUSDT,2018-03-03,11464.48,11544.0,11015.01,190444,11038.99,241749497.90247172,123142920.22314858,10842.682784,21287.15328
BTCUSDT,2018-03-04,11515.0,11565.0,11050.02,168359,11464.47,194849579.12502074,92437014.46393473,8197.401595,17295.918653
BTCUSDT,2018-03-05,11454.0,11710.0,11415.01,164318,11515.0,174866951.39806527,88588986.3365785,7668.823714,15144.231063
BTCUSDT,2018-03-06,10716.48,11455.0,10555.48,250306,11455.0,323842216.64859617,147874120.62232068,13482.297196,29515.572363
BTCUSDT,2018-03-07,9910.0,10899.0,9389.31,396721,10716.48,514808033.4879209,244164771.36009568,24022.451231,50647.67108
BTCUSDT,2018-03-08,9271.64,10099.0,9060.0,336514,9910.0,394641280.63843673,194608716.93503922,20257.455838,41109.473226
BTCUSDT,2018-03-09,9227.0,9410.0,8329.0,462712,9267.07,567082901.1319405,275735446.01075995,31166.414848,64112.291407
BTCUSDT,2018-03-10,8770.22,9490.0,8667.07,288066,9230.0,341210248.41481787,161991786.13432977,17639.827276,37180.012857
BTCUSDT,2018-03-11,9533.57,9740.0,8450.0,333367,8770.22,403491260.9275316,192897625.61146572,21150.206944,44325.973386
